"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","26-Sep-2016","       1102.80","       1103.40","       1129.55","       1100.25","       1106.30","       1107.20","       1118.64","    8734943","          9771217522.35","     119368"
"RELIANCE","EQ","27-Sep-2016","       1107.20","       1117.00","       1125.95","       1106.60","       1110.90","       1110.50","       1115.34","    4428693","          4939498790.35","      99600"
"RELIANCE","EQ","28-Sep-2016","       1110.50","       1107.90","       1108.00","       1086.30","       1089.00","       1090.65","       1092.60","    5673488","          6198865983.30","     123527"
"RELIANCE","EQ","29-Sep-2016","       1090.65","       1095.00","       1110.75","       1067.40","       1074.55","       1072.45","       1085.03","    4859746","          5272989985.65","      96086"
"RELIANCE","EQ","30-Sep-2016","       1072.45","       1068.00","       1094.55","       1066.30","       1084.50","       1083.70","       1082.80","    2560105","          2772082002.15","      97669"
"RELIANCE","EQ","03-Oct-2016","       1083.70","       1087.00","       1107.95","       1076.25","       1090.00","       1090.70","       1093.31","    4143109","          4529687732.75","     108886"
"RELIANCE","EQ","04-Oct-2016","       1090.70","       1093.05","       1108.30","       1092.00","       1095.00","       1096.35","       1100.57","    2997544","          3299004036.40","      74385"
"RELIANCE","EQ","05-Oct-2016","       1096.35","       1104.00","       1106.50","       1085.80","       1090.00","       1089.40","       1095.21","    2466397","          2701225312.05","      51226"
"RELIANCE","EQ","06-Oct-2016","       1089.40","       1092.00","       1126.25","       1092.00","       1112.00","       1110.80","       1114.15","    4825630","          5376475095.30","      96062"
"RELIANCE","EQ","07-Oct-2016","       1110.80","       1114.00","       1123.05","       1106.50","       1106.95","       1109.00","       1114.12","    3492838","          3891447818.30","      74933"
"RELIANCE","EQ","10-Oct-2016","       1109.00","       1114.00","       1122.00","       1094.00","       1096.00","       1096.35","       1105.74","    2640973","          2920222667.60","      66148"
